dataset,condition,diff_vs_direct,ci_low,ci_high
arc,cot-neutral,0.020000000000000018,-0.040000000000000036,0.08000000000000007
arc,critic-harsh,-0.56,-0.72,-0.4
arc,critic-harsh-lowbudget,-0.64,-0.78,-0.49999999999999994
arc,polite-direct,0.0,0.0,0.0
arc,rude-direct,0.040000000000000036,0.0,0.09999999999999998
gsm8k,cot-neutral,0.21999999999999997,0.08000000000000007,0.36
gsm8k,critic-harsh,-0.12,-0.26,0.020000000000000018
gsm8k,critic-harsh-lowbudget,-0.38,-0.52,-0.21999999999999997
gsm8k,polite-direct,-0.040000000000000036,-0.12,0.03999999999999998
gsm8k,rude-direct,-0.040000000000000036,-0.12,0.03999999999999998
